model,auroc,auroc_std,accuracy,accuracy_std,f1,f1_std,precision,precision_std,recall,recall_std,time_sec
Logistic Regression,0.7827398063573197,0.005295897781677131,0.7173255428994768,0.00451753107854857,0.7629002874795973,0.004151120425774989,0.7130356340690432,0.00329701190131031,0.8202815804497996,0.006417014399007375,1.6500988006591797
Random Forest,0.980072833034343,0.0012060647034481144,0.93005359926533,0.003390529468418584,0.9367010868370815,0.003088402115744352,0.9399769578024056,0.003963146034406656,0.9334636072445568,0.004252801551528623,26.14380383491516
SVM,0.9296309725869014,0.003277384472478573,0.8642462379034125,0.004131595262521342,0.8798754599357569,0.003228680772783791,0.8637585377829001,0.006410044954949236,0.8966380644024206,0.0023336087330953536,551.2158336639404
