AA_A,AA_C,AA_D,AA_E,AA_F,AA_G,AA_H,AA_I,AA_K,AA_L,AA_M,AA_N,AA_P,AA_Q,AA_R,AA_S,AA_T,AA_V,AA_W,AA_Y,mol_weight,isoelectric,gravy,instability,aromaticity,aliphatic
-0.0019261676721338086,0.016993137541624768,0.07309285834899826,0.02058347782844157,-0.0011088744862040594,-0.011875285405667792,0.014823767290081936,-0.0006833148334640227,0.04683747672657545,0.029640194019654117,0.0007646656336778395,0.006400241309483644,-0.00022385232795840763,0.054498889063247166,-0.0005476266403524084,-0.037255935715103446,-0.002997253874810285,0.02174991164213357,-0.003339345555049952,0.009617821061359272,0.010270706254384903,0.0041567086202866374,0.12225235908173589,0.009644591164061574,0.030165849159494326,0.03389644035712128
0.0052157795325068375,-0.005166764139699493,0.05658663559486648,-0.002572577588327074,-0.005160302284270905,0.05493959504853801,-0.006183322861169175,0.024972751792855494,0.053106352482350974,0.0018096636660591182,0.0016607832288200689,0.02380427755292658,0.0037303603143604433,-0.04496764819617475,0.006860741003307774,0.009776697465161294,0.0035988600711183015,0.05769896161713155,0.00025367121937341436,0.010190285316422446,0.0858158364973404,0.002967781465696546,0.07517028806572175,0.0011285097228720877,0.023739805805010117,0.006454416198811757
-0.006973511718585686,-0.024408527559184847,0.00898028028104755,-0.013608522719404942,0.015917684409672485,0.0374428444670754,-0.024060321018469562,-0.0021080087033763743,-0.0074405647400346145,-0.009677018633230358,-0.008246857834261597,-0.017836734364769135,0.005372084451079998,-0.020040251925671798,-0.0028959229896102453,-0.03817174455880714,-0.002665486512543806,-0.01781489293488727,-0.010705646254986245,0.015278994881734946,-0.12225148990626122,-0.01295501464017837,-0.03845141056631539,-0.02072328712100704,0.012047600754801326,-0.02062045499965241
-0.01166050265790898,-0.008565861251120913,0.010711314187589633,-0.03046609314972249,-0.009337798392161626,-0.09287280051698399,-0.020384187386912708,0.002350101490700632,-0.011509696934577237,-0.008774805235944916,-0.005198435737543141,0.015844495297315186,-0.00856102113977391,-0.05553246066923203,-0.009033502815343111,-0.028323703423219222,-0.014665753141438753,-0.02393969883962353,0.008294036069330935,-0.029827454336620523,-0.20212163834538513,-0.00897011815848026,0.026488314601870004,-0.014087375237016893,-0.01938537329619027,-0.0050385423896166905
-0.003963433440641049,0.04124377928516737,-0.00847133896573291,0.032887225735618454,0.03779811400838059,-0.011166209717078018,0.04442500862158211,0.014775310882890717,5.6933559835089465e-05,0.02387193662570401,0.0027872814675787175,-0.01409712331637034,0.012494442441616134,0.0026621741339055115,0.0011727503469221776,-0.012081854459639767,0.013882166912865293,0.01025124824755505,0.033106847444548435,-0.004173615575467787,0.1339812261058358,0.0043938308987387575,0.060903558191282736,0.001449619269296636,0.01878687147578991,0.008454688411436064
-0.011555112626316866,-0.01704661318818147,0.0031346564463639,-0.012141955095275558,-0.009539329387679877,0.0052324403505206885,0.015863654217908883,0.015573721157024314,-0.008655499816902034,-0.017895386442369602,-0.0011841454278798034,-0.009993315701666181,-0.004724883565823671,-0.030394159510184395,-0.01028617265956548,-0.05861941128422997,-0.013565610818966735,-0.035035341044729086,-0.014381505402611612,-0.01262374688409998,-0.01711350757373952,-0.009880345987230303,-0.06943873339369831,-0.042375966360471494,-0.022684717624046263,-0.008570907117860516
0.0280395939203428,-0.0006058691644938692,0.004626275831064638,-0.0007727214765863228,0.03545150763716371,0.05142819279170285,0.012959551080586561,0.022255001416654954,-0.004102156063803621,0.001909550713379526,0.0011483900182790712,-0.025209539771845927,0.003912102687996937,-0.007157196224733722,0.00425684328294189,0.026898365159921674,0.0043745131352250066,0.001832629454649011,0.03390250832598604,0.0283682119770237,0.15030966238502322,-0.007746640252382403,0.01487447441294635,0.012856957828217023,0.05272129991212934,-0.0011000704257766128
-0.019102495371614524,-0.030463568762722482,-0.03445694391003842,0.003837658774848582,-0.029863939274521155,-0.00784425000157791,0.005453108819330173,0.01850560825619886,-0.021302486374459875,-0.012721948471969814,-0.0054904994160391565,-0.014630440011239726,-0.02233982056404211,-0.017764233923162006,-0.010148043350285352,-0.03268423279507385,-0.014562255899851795,-0.013718958669342196,-0.013995272277369054,-0.027251858958199683,-0.1533111276516304,-0.01435209834543345,-0.021441270776319247,-0.01711909641198273,-0.025317270127313007,-0.0024828259143040896
0.03609472921355757,0.00945020019310277,0.012559828844530177,-0.0005943382696923431,0.02228824680682746,0.0882581902758325,0.0032331876340089766,0.016977404669114175,0.006994172294157173,0.003075944810003715,0.013269435108477088,0.1010925175361657,7.439514618653867e-05,0.006207697475166376,0.0041154647758023,-0.02618134457843585,0.014646064757586542,-0.002992523208039244,0.023617235147189393,0.022639621011016804,0.06793929993169968,0.0073464372101277615,-0.00023514421996719822,0.01108609517107464,0.0005429856822997599,0.003925635173700428
-0.0025545727635526384,0.007437611509937233,0.0770335378560181,0.013556658195702233,0.0016591421079499952,0.033851758756557535,0.0030825816939734846,0.0070827488771550715,0.05279233962624834,0.02252135221010611,-0.00957267638898072,0.045437324992665305,0.0017219972900904446,0.024768613175912585,0.00028702918966941625,-0.01939145221586117,-0.0022553710881456383,0.03304631717083386,0.002082417911591425,0.014707897524013743,-0.05307561344741674,-0.0008193282959628488,0.11011971751252794,0.016504521572848138,0.03644618878336913,0.02896069683435465
